asset,lambda,m,label,t,w
SPX,1.8,0.01,high_lambda_low_m,86,0.7790181036921376
SPX,1.8,0.01,high_lambda_low_m,87,0.740474370663894
SPX,1.8,0.01,high_lambda_low_m,88,0.8937605811788227
SPX,1.8,0.01,high_lambda_low_m,89,0.6106427893275058
SPX,1.8,0.01,high_lambda_low_m,90,0.6862374940838566
SPX,1.8,0.01,high_lambda_low_m,91,0.7902861012262881
SPX,1.8,0.01,high_lambda_low_m,92,0.7479178493014739
SPX,1.8,0.01,high_lambda_low_m,93,0.8258065639362535
SPX,1.8,0.01,high_lambda_low_m,94,0.793232185419861
SPX,1.8,0.01,high_lambda_low_m,95,0.7500433953442605
SPX,1.8,0.01,high_lambda_low_m,96,0.8532469602329534
SPX,1.8,0.01,high_lambda_low_m,97,0.991283618704805
SPX,1.8,0.01,high_lambda_low_m,98,0.8014435799780986
SPX,1.8,0.01,high_lambda_low_m,99,0.9999999532098105
SPX,1.8,0.01,high_lambda_low_m,100,0.8863494582597204
SPX,1.8,0.01,high_lambda_low_m,101,0.7574614520936072
SPX,1.8,0.01,high_lambda_low_m,102,0.7980288261436498
SPX,1.8,0.01,high_lambda_low_m,103,0.9748679993718877
SPX,1.8,0.01,high_lambda_low_m,104,0.8577615659690672
SPX,1.8,0.01,high_lambda_low_m,105,0.799447493574205
SPX,1.8,0.01,high_lambda_low_m,106,0.7692122522267753
SPX,1.8,0.01,high_lambda_low_m,107,0.8499224941149827
SPX,1.8,0.01,high_lambda_low_m,108,0.7060327349008751
SPX,1.8,0.01,high_lambda_low_m,109,0.8771079220517951
SPX,1.8,0.01,high_lambda_low_m,110,0.9835276025346797
SPX,1.8,0.01,high_lambda_low_m,111,0.8769175565430525
SPX,1.8,0.01,high_lambda_low_m,112,0.7739328753797865
SPX,1.8,0.01,high_lambda_low_m,113,0.7790228441935413
SPX,1.8,0.01,high_lambda_low_m,114,0.8126872745787581
SPX,1.8,0.01,high_lambda_low_m,115,0.8196283961328831
SPX,1.8,0.01,high_lambda_low_m,116,0.9888417501626312
SPX,1.8,0.01,high_lambda_low_m,117,0.7100373712137404
SPX,1.8,0.01,high_lambda_low_m,118,0.7109025018056431
SPX,1.8,0.01,high_lambda_low_m,119,0.861287401702283
